Bond, E(UHF)_T, E(CCSD)_T, E(phRPA)_T, E(RDM-ph)_T
0.3, 0.07546303, 0.07546303, 0.07546303, 0.07065430
0.4, -0.27670832, -0.27670832, -0.27670832, -0.27892528
0.5, -0.44212729, -0.44212729, -0.44212729, -0.44152791
0.6, -0.52608686, -0.52608686, -0.52608686, -0.54610446
0.7, -0.56952310, -0.56952310, -0.56952310, -0.56857546
0.9, -0.59110639, -0.59110639, -0.59110639, -0.59041705
1.0, -0.60028412, -0.60028412, -0.60028412, -0.60517039
1.1, -0.60220252, -0.60220252, -0.60220252, -0.59848377
1.2, -0.59982469, -0.59982469, -0.57656764, -0.61779329
1.3, -0.59493301, -0.59493301, -0.53764128, -0.59627434
1.4, -0.58863236, -0.58863236, -0.50420709, -0.59029494
1.5, -0.58162015, -0.58162015, -0.47575483, -0.56427507
1.6, -0.57434309, -0.57434309, -0.45173115, -0.58102129
1.7, -0.56709007, -0.56709007, -0.43160084, -0.56885662
1.8, -0.56004716, -0.56004716, -0.41487113, -0.55545001
2.0, -0.55333363, -0.55333363, -0.40109790, -0.55338299
2.1, -0.54702839, -0.54702839, -0.38988520, -0.55670724
2.2, -0.54118707, -0.54118707, -0.38088292, -0.55432543
2.3, -0.53584840, -0.53584840, -0.37378402, -0.53691465
2.4, -0.53103315, -0.53103315, -0.36832082, -0.53545957
2.5, -0.52674178, -0.52674178, -0.36426035, -0.52801489
2.6, -0.52295556, -0.52295556, -0.36139933, -0.53234312
2.7, -0.51964142, -0.51964142, -0.35955942, -0.52526865
2.8, -0.51675802, -0.51675802, -0.35858340, -0.53374300
2.9, -0.51426105, -0.51426105, -0.35833225, -0.51549363
3.1, -0.51210677, -0.51210677, -0.35868309, -0.51982592
3.2, -0.51025394, -0.51025394, -0.35952786, -0.50484625
3.3, -0.50866475, -0.50866475, -0.36077224, -0.50195692
3.4, -0.50730504, -0.50730504, -0.36233488, -0.51289119
3.5, -0.50614433, -0.50614433, -0.36414643, -0.48828606
